STT,Câu hỏi,Câu trả lời,1. Xác định đúng vấn đề,2. Trích đúng điều luật (Đủ căn cứ),3. Trả lời đúng câu hỏi,4. Câu trả lời rõ ràng,Ghi chú verify điều luật & căn cứ,Phân loại
120,"Trước đây Ông em có mua cho Bố em 1 mảnh đất, thời điểm đó chỉ có phiếu thu tiền , chưa có sổ đỏ. Ở quê thì mọi người cũng nhiều người cũng chưa có sổ như thế. Sau này lúc Ông e mất, các cô các Bác đã ký giấy từ chối nhận quyền thừa kế và để mảnh đất đó cho Bố em. Gia đình em đã mang giấy tờ đi nộp để làm Sổ đỏ, tuy nhiên giấy tờ đã bị thất lạc, do có xáo trộn lãnh đạo địa chính lúc ấy. Bây giờ nhà em muốn làm sổ đỏ thì phải làm như thế nào ạ? giấy tờ gốc hiện tại nhà em k còn, chỉ còn bản hình ảnh thôi ạ",,,,,,,Kind 1 - Thủ tục quản lý đất đai
121,"Em ở Đà Nẵng, mọi người cho em hỏi. 
Thửa đất của người đã chết, em là người được thừa kế ( các đồng thừa kế đã đống ý ký văn bản phân chia di sản thừa kế khi nào em hoàn thành thủ tục). Thửa đất đang là sổ đỏ (chưa lên sổ hồng) có diện tích 125m2 trong GCN nhưng đo thực tế là 160m2 , tăng thêm 35m2 ( thửa đất gốc có diện tích 525m2 đã công nhận toàn bộ đất ở theo hồ sơ 299 ở trước 18/12/1980 năm 2009), hạn mức đất ở chỗ em là 100m2 x 5 =500m2 nên giờ họ xác định 125m2 trong GCN kia có 100m2 ở và 25m2 CLN ; phần đất còn lại này nằm ở giữa thửa đất gốc ( chỉ giáp thửa đất phía sau, hai bên là hai thửa cắt ra từ thửa gốc, đã có ranh giới). 
Vậy cho em hỏi là sau khi ký thỏa thuận phân chia di sản thừa kế, em có thể đổi sổ đỏ sang sổ hồng và biến động phần dư ra kia thành đất CLN để trong sổ hồng mới là 100m2 đất ở và 60m2 CLN không ? Sau khi làm như vậy em mới sang tên cho em đứng được không ? Mong mọi người giúp em",,,,,,,Kind 1 - Thủ tục quản lý đất đai
122,"Bà em già yếu 90tuoi cần sang tên đất cho bố em là con trai 65tuoi sống chung với bà (bà là chủ hộ). Nhà em chỉ có 1 mảnh đất sống cả 40 năm nay rồi. 
Xã đòi giấy khai sinh của bố em.
Vấn đề là bà và bố em ngày xưa chiến tranh chạy giặc vào nam nên ko còn giấy khai sinh từ 65 năm trước. Bố em về quê chật vật làm được giấy khai sinh. Thì xã đòi tiếp giấy kết hôn của ông bà em. Vấn đề là ông của em chết mất xác trong chiến tranh (đến giờ vẫn ko tung tích ko biết chết ở đâu). Trình bày thì họ đòi giấy chứng tử + mộ. 
Giờ phải làm sao ạ? Giấy tờ đất nhà em sổ hồng thổ cư đầy đủ.",,,,,,,Kind 1 - Thủ tục quản lý đất đai
123,"Nhà e định làm sổ đỏ 330m, Khi em lên nộp bộ hồ sơ mới năm 2025 là 330m nhưng trên phường lại cho bộ hồ sơ cũ 2022 là 150m làm thuế (năm 2022 trên phường bảo nhà em là chỉ được làm 120-150m, nên nhà e cũng phải nộp hồ sơ. Tất nhiên là trong vòng mấy năm nay thì nhà e vẫn chưa dc phường gọi lên đóng thuế). Trong khi đó nhà e không có kí kết bất cứ giấy tờ gì cả. Năm nay phường gọi nhà e lên đóng thuế 150m thì nhà e cũng phải lên làm.
Hiện tại đã đóng xong thuế. Nhưng chưa có sổ. Bên phường lại gọi bảo là còn số đất còn lại thì phải trả cho phường, cho nhà nước để làm đường gì đó, em cũng không rõ. Và nếu không kí giấy tờ trả đất cho nhà nước thì nhà e không làm được sổ đỏ.
Mong người tư vấn giúp e là trường hợp này e có làm được sổ đỏ cho 150m không và số đất còn lại là 180m đất vườn nếu như không có trong sổ đỏ thì nó đi về đâu ạ. Đất nhà e là được nhà nước chia vì ông là lão thành cách mạng ạ. Em cảm ơn ạ",,,,,,,Kind 1 - Thủ tục quản lý đất đai
124,Các bác làm trong lĩnh vực luật đất đai cho e hỏi với ạ! Đất giãn dân do xã bán trái thẩm quyền 20 năm trước ( tức năm 2005) muốn được cấp sổ đỏ thì có quy định nào yêu cầu phải có nhà cấp 4 trở lên thì mới dc cấp ko ạ? Nếu có thì nó đc quy định ở điều nào? Khoản bn? Thông tư nào ko ạ? Em xin cảm ơn các ac rất nhiều,,,,,,,Kind 1 - Thủ tục quản lý đất đai
125,"E chào a/c trong nhóm. Mong a/c giải đáp thac mac:
 mẹ e bị mat khả nang hanh vi dan su, e đa co trích lục
 giám hộ và chị gai em là người giam sát giám hộ. E
 muon doi ten dat tu me em sang em co duoc khong
 ạ? Hỏi nhiều chỗ mà thủ tục hơi lang nhằng a",,,,,,,Kind 1 - Thủ tục quản lý đất đai
126,"Em có nhà đất ở khu tập thể nhà máy cơ khí tại Quảng Ninh, đất ở, Giấy tờ có giấy thanh lý của nhà máy bản gốc có dấu đỏ, có hồ sơ kỹ thuật thửa đất lập năm 1997 và trích lục đo đạc năm 2021, nhà máy đã thanh lý cho công nhân, sử dụng ổn định, lâu dài không tranh chấp, chưa được cấp sổ đỏ. Em muốn hỏi có đủ điều kiện cấp sổ đỏ lần đầu không?",,,,,,,Kind 1 - Thủ tục quản lý đất đai
127,"Các bác cho em hỏi nhà em đang làm thủ tục tách sổ, đất nhà e thỏa mãn tất cả thủ tục để tách, tuy nhiên cả khu vực chỗ em ở( cả huyện)  tọa độ giữa các nhà bị hay lệch khoang 50 cm, vậy việc tách sổ có bị ảnh hưởng gì không ạ? đo thực tế đất đủ diện tích trên sổ không tranh chấp, đất nhà em sử dụng và được cấp sổ lâu năm rồi. Cảm ơn các bác.",,,,,,,Kind 1 - Thủ tục quản lý đất đai
128,"Dạ e ở Thủ Đức, cho e hỏi giấy tay 2017 có làm sổ được không ạ, trên đất có nhà cấp 4 xin GPXD 2 tầng được ko ạ. Cám ơn mọi người",,,,,,,Kind 1 - Thủ tục quản lý đất đai
129,"Nhờ các bác trên thông thiên văn dưới tường địa lý giúp em. Chả là nhà em đang làm giấy tờ, chuyển tên chủ sở hữu đất từ tên ông nội em, sang tên bố em(ông nội em đã mất, các bác trong nhà đều đồng thuận việc chuyển đổi) đồng thời, vì lý do mảnh đất nên phải tách làm 3 sổ. Ko biết thủ tục có khó ko? Và mất khoảng bao lâu? Chi phí tnao nhỉ? Đang thời kì chuyển giao, lại sáp nhập tỉnh nên em thấy mông lung quá. Mong các bác hỗ trợ, xin lời khuyên (cả chính ngạch và tiểu ngạch ạ)",,,,,,,Kind 1 - Thủ tục quản lý đất đai
130,"Mình muốn hỏi về việc làm sổ đỏ tại Hà Nội. Giấy tờ đất đứng tên ông bà nội (Giấy tờ từ thời Pháp). Ông bà đã mất quá 30 năm. Con cái ông bà người thì đã mất, không con cái. Người thì đã mất nhưng có con cái. Người thì còn sống. Nguồn gốc đất rõ ràng. Không có tranh chấp đất. Gia đình đồng thuận làm sổ đỏ. Xin nhờ tư vấn các bước phải làm thế nào ạ?",,,,,,,Kind 1 - Thủ tục quản lý đất đai
131,Ở thanh hoá nhờ các bác tư vấn giúp là nhà e có sổ đỏ bị cháy mất sổ đứng tên bố e giờ ông chết còn bà giờ làm ntn nhờ các bác tư vấn giúp,,,,,,,Kind 1 - Thủ tục quản lý đất đai
132,"Nhờ các ac giúp ạ. Giờ e làm thừa kế , bố e mất rồi ko có giấy khai sinh , mà ra tư pháp xin họ bảo Ng mất rồi họ ko cấp lại.xin xác nhận bố e là con của ông bà nhưng cũng ko đc. Hó bảo phải bên vpcc về xác minh . Mà vpcc thì họ ko có trách nhiệm làm vc đấy. Vậy giờ e phải làm thế nào ạ",,,,,,,Kind 1 - Thủ tục quản lý đất đai
133,"E chào mọi người ạ. Gđ e đang trong giai đoạn xác minh công trình trên đất, mn cho e hỏi trên đất nhà e đang có 1 tầng hầm có kết cấu móng dầm cột bê tông cốt thép, đổ trần bê tông, có cầu thang lên xuống có bể phốt. Vậy có đc tính là công trình hợp lệ trong trường hợp cấp sổ đỏ lần đầu nguồn gốc đất là khai hoang. Và công trình đc xây từ năm 2013 ạ.",,,,,,,Kind 1 - Thủ tục quản lý đất đai
134,"Mọi người cho em hỏi,em lam hồ so cap sổ
 lần đầu, hạn nộp thuế nhà nước cho hạn là
 trong vòng bao nhiêu ngày!",,,,,,,Kind 1 - Thủ tục quản lý đất đai
135,"Gần đây mình có oàn thiện một hồ sơ về đất đai, và khi nộp thì có nộp bản chính giấy khai sinh. Mọi người cho mình hỏi là:
 - Có bắt buộc nộp giấy khai sinh trong hồ sơ không?
 - Nếu không thì liên hệ với cơ quan liên quan để xin rút bản chính, nộp bản sao ạ?
 - Trong trường hợp không xin rút được thì xử lí như thế nào?",,,,,,,Kind 1 - Thủ tục quản lý đất đai
136,"Em mới bán căn chung cư studio ( là tải sản duy nhất tính đến thời điểm hiện tại của hai vợ chồng). Khi bán là dc tư vấn là miễn thuế thu nhập cá nhân do là tai sản duy nhất. Tuy nhiên, cục thuế mới thông báo tụi e ko được miễn, do còn có tài sản thứ 2, là mảnh đất đã được tụi em bán cách đây 5 năm. Thuế yêu cầu phải về Văn phòng công chứng xin trích lục chứng minh hợp đồng mua bán của mảnh này.
Cách đây 5 năm, Ông chủ Lý bán mảnh đất này có số thửa là 888-1, số tờ 2 cho vợ chồng em. Mảnh này là lô nhỏ tách ra từ thửa lớn của ông, khi bán có các con và vợ có đồng ý kí bán.
Sau vài năm vợ chồng e bán lại thửa 888-1, tơ số 2 cho ông khách Lâm, thửa này sau khi bán thì đổi tên số thửa là 1012, số tờ 10.
Thực chất 2 thửa này là 1. Em mua và bán lại khách khác thôi. Nhưng giờ thuế tra ra thửa 888-1 đầu tiên vẫn là sở hữu của chồng em. Nên ko dc giảm thuế TNCN khi bán căn chung cư . Họ yêu cầu xác minh Hợp đồng mua bán của thửa 888-1, chứng minh vc chỉ có tài sản duy nhất. Vợ chồng em làm sao chứng minh dc 2 mảnh này là 1 và đã bán đi rồi ạ.
Đi văn phòng công chứng đã công chứng cho manh 888-1 thì chỉ chưng minh dc quyền nhận chuyển nhượng mảnh này.
Đi vpcc đã công chứng manh 1012, thì chỉ trích lục dc dã bán mảnh 1012.
Làm sao chứng minh vc e chỉ có tài sản duy nhất là căn chung cư hiện tại ạ?
Em đang rất rối. Mong quy anh chị tư vấn giúp ạ",,,,,,,"Kind 2 - Quyền, nghĩa vụ và việc sử dụng đất"
137,"Anh chị cho em hỏi là Nghị quyết số 254/2025/QH15 của Quốc hội,trong đó có việc giảm 70% tiền SDĐ khi chuyển mục đích lần đầu có thật hay ko? Em nộp hs đề nghị được chuyển mục đích từ tháng 10 năm 2025 và nay đã có thông báo nộp tiền SDĐ nhưng chưa được giảm trong văn bản thông báo thì giờ em phải làm ntn? Nhờ mn hiểu biết hướng dẫn giúp ạ. Em xin cảm ơn",,,,,,,"Kind 2 - Quyền, nghĩa vụ và việc sử dụng đất"
138,Cho e hỏi nếu đất đồng sở hữu nhưng chưa xác định diênn tích của từng cá nhân trong đó thì bây giờ cần phải làm gì ạ?,,,,,,,"Kind 2 - Quyền, nghĩa vụ và việc sử dụng đất"
139,"Anh chị luật sư cho e hỏi chút. E ở HN, mảnh đất nhà e được cấp sổ năm 2004 diện tích là 900m². Trong sổ có ghi đất sử dụng 250m² T (lâu dài) và 650m² vườn. 
 Nhưng diện tích thực tế hiện tại khoảng 1300m². Đất nhà e có 2 mặt giáp suối.
 Giờ bố mẹ e muốn cho tặng cho 2 con thì thủ tục như thế nào và trường hợp đất thực tế nhiều hơn so với sổ thì xử lý như thế nào ạ. Anh chị tư vấn giúp em.
 E cảm ơn ạ !",,,,,,,"Kind 2 - Quyền, nghĩa vụ và việc sử dụng đất"
